id_partida,data_jogo,campeonato,home_team,away_team,period,group,name,home_value,away_value,home_total,away_total,compare_code,key,resultado
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Passes,Accurate passes,182.0,131.0,,,1,accuratePasses,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Passes,Throw-ins,1.0,7.0,,,2,throwIns,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Passes,Final third entries,25.0,26.0,,,2,finalThirdEntries,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Passes,Long balls,12.0,7.0,19.0,22.0,1,accurateLongBalls,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Passes,Crosses,2.0,0.0,9.0,5.0,1,accurateCross,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Duels,Duels,49.0,51.0,,,2,duelWonPercent,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Duels,Dispossessed,1.0,4.0,,,2,dispossessed,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Duels,Ground duels,19.0,20.0,39.0,39.0,2,groundDuelsPercentage,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Duels,Aerial duels,3.0,3.0,6.0,6.0,3,aerialDuelsPercentage,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Duels,Dribbles,4.0,5.0,7.0,9.0,1,dribblesPercentage,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Defending,Tackles won,4.0,1.0,8.0,4.0,1,wonTacklePercent,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Defending,Total tackles,8.0,4.0,,,1,totalTackle,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Defending,Interceptions,4.0,3.0,,,1,interceptionWon,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Defending,Recoveries,29.0,24.0,,,1,ballRecovery,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Defending,Clearances,8.0,4.0,,,1,totalClearance,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Goalkeeping,Total saves,2.0,4.0,,,2,goalkeeperSaves,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Goalkeeping,Goal kicks,3.0,6.0,,,2,goalKicks,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Match overview,Ball possession,47.0,53.0,,,2,ballPossession,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Match overview,Expected goals,0.71,0.57,,,1,expectedGoals,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Match overview,Big chances,2.0,1.0,,,1,bigChanceCreated,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Match overview,Total shots,10.0,15.0,,,2,totalShotsOnGoal,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Match overview,Goalkeeper saves,3.0,2.0,,,1,goalkeeperSaves,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Match overview,Corner kicks,0.0,4.0,,,2,cornerKicks,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Match overview,Fouls,11.0,15.0,,,2,fouls,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Match overview,Passes,423.0,464.0,,,2,passes,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Match overview,Tackles,13.0,20.0,,,2,totalTackle,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Match overview,Free kicks,15.0,9.0,,,1,freeKicks,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Match overview,Yellow cards,4.0,6.0,,,2,yellowCards,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Shots,Total shots,10.0,15.0,,,2,totalShotsOnGoal,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Shots,Shots on target,3.0,4.0,,,2,shotsOnGoal,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Shots,Hit woodwork,0.0,0.0,,,3,hitWoodwork,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Shots,Shots off target,4.0,7.0,,,2,shotsOffGoal,
12116983,2024-04-13,Brasileirão Série A,Criciúma,Juventude,ALL,Shots,Blocked shots,3.0,4.0,,,2,blockedScoringAttempt,
