detailedStatsLink,competitionDescription,logo,nameSeason,possibleGames,gamesPlayed,goalsScored,assists,yellowCards,secondYellowCards,redCards,startElevenPercent,minutesPlayedPercent,goalsContributedPercent,goalkeeper,concededGoals,cleanSheets,blockedPenaltyPercent,minutesPlayed,player_id,player_name,player_number
/alexis-soto/leistungsdatendetails/spieler/409272/wettbewerb/ARCA/saison/2023,Copa Argentina,https://tmssl.akamaized.net//images/logo/normal/arca.png?lm=1641845291,2024,1.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,False,0.0,0.0,0.0,90.0,409272,Alexis Soto,3
/alexis-soto/leistungsdatendetails/spieler/409272/wettbewerb/CDCA/saison/2023,Copa de la Liga - Playoffs,https://tmssl.akamaized.net//images/logo/normal/cdca.png?lm=1647533050,2024,1.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,False,0.0,0.0,0.0,90.0,409272,Alexis Soto,3
/alexis-soto/leistungsdatendetails/spieler/409272/wettbewerb/CDLP/saison/2023,Copa de la Liga,https://tmssl.akamaized.net//images/logo/normal/cdlp.png?lm=1647591044,2024,14.0,14.0,0.0,1.0,0.0,0.0,0.0,100.0,97.46031746031746,5.88235294117647,False,0.0,0.0,0.0,1228.0,409272,Alexis Soto,3
/alexis-soto/leistungsdatendetails/spieler/409272/wettbewerb/CS/saison/2023,Copa Sudamericana,https://tmssl.akamaized.net//images/logo/normal/cs.png?lm=1512644426,2024,6.0,5.0,0.0,0.0,2.0,0.0,0.0,83.33333333333334,78.14814814814814,0.0,False,0.0,0.0,0.0,422.0,409272,Alexis Soto,3
/dario-caceres/leistungsdatendetails/spieler/567663/wettbewerb/AR1N/saison/2023,Liga Profesional,https://tmssl.akamaized.net//images/logo/normal/ar1n.png?lm=1612869286,2024,17.0,6.0,0.0,0.0,2.0,0.0,0.0,17.647058823529413,23.202614379084967,0.0,False,0.0,0.0,0.0,355.0,567663,Darío Cáceres,26
/dario-caceres/leistungsdatendetails/spieler/567663/wettbewerb/ARCA/saison/2023,Copa Argentina,https://tmssl.akamaized.net//images/logo/normal/arca.png?lm=1641845291,2024,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.55555555555556,0.0,False,0.0,0.0,0.0,32.0,567663,Darío Cáceres,26
/dario-caceres/leistungsdatendetails/spieler/567663/wettbewerb/CDCA/saison/2023,Copa de la Liga - Playoffs,https://tmssl.akamaized.net//images/logo/normal/cdca.png?lm=1647533050,2024,1.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,False,0.0,0.0,0.0,90.0,567663,Darío Cáceres,26
/dario-caceres/leistungsdatendetails/spieler/567663/wettbewerb/CDLP/saison/2023,Copa de la Liga,https://tmssl.akamaized.net//images/logo/normal/cdlp.png?lm=1647591044,2024,14.0,10.0,0.0,0.0,1.0,0.0,0.0,21.428571428571427,26.42857142857143,0.0,False,0.0,0.0,0.0,333.0,567663,Darío Cáceres,26
/dario-caceres/leistungsdatendetails/spieler/567663/wettbewerb/CS/saison/2023,Copa Sudamericana,https://tmssl.akamaized.net//images/logo/normal/cs.png?lm=1512644426,2024,6.0,5.0,0.0,0.0,0.0,0.0,0.0,83.33333333333334,76.85185185185185,0.0,False,0.0,0.0,0.0,415.0,567663,Darío Cáceres,26
/ignacio-galvan/leistungsdatendetails/spieler/863140/wettbewerb/AR1N/saison/2023,Liga Profesional,https://tmssl.akamaized.net//images/logo/normal/ar1n.png?lm=1612869286,2024,17.0,7.0,0.0,0.0,1.0,0.0,0.0,29.411764705882355,25.882352941176475,0.0,False,0.0,0.0,0.0,396.0,863140,Ignacio Galván,18
/ignacio-galvan/leistungsdatendetails/spieler/863140/wettbewerb/ARCA/saison/2023,Copa Argentina,https://tmssl.akamaized.net//images/logo/normal/arca.png?lm=1641845291,2024,2.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,0.0,False,0.0,0.0,0.0,36.0,863140,Ignacio Galván,18
/ignacio-galvan/leistungsdatendetails/spieler/863140/wettbewerb/CDLP/saison/2023,Copa de la Liga,https://tmssl.akamaized.net//images/logo/normal/cdlp.png?lm=1647591044,2024,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6190476190476195,0.0,False,0.0,0.0,0.0,96.0,863140,Ignacio Galván,18
/ignacio-galvan/leistungsdatendetails/spieler/863140/wettbewerb/CS/saison/2023,Copa Sudamericana,https://tmssl.akamaized.net//images/logo/normal/cs.png?lm=1512644426,2024,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.185185185185185,0.0,False,0.0,0.0,0.0,82.0,863140,Ignacio Galván,18
/ignacio-galvan/leistungsdatendetails/spieler/863140/wettbewerb/CPP1/saison/2023,Copa Proyección Inicial Playoff,https://tmssl.akamaized.net//images/logo/normal/cpp1.png?lm=1727214335,2024,1.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,False,0.0,0.0,0.0,90.0,863140,Ignacio Galván,18
